order_id,order_date,customer_id,customer_email,product_name,category,quantity,unit_price,revenue,store_name,shipping_city,shipping_state,shipping_zip
ORD-388389,2026-05-17,CUST00179,cust1517@example.com,Garden Hose 50ft,Home Decor,1,29.99,29.99,WestPatio,Austin,TX,98696
ORD-131244,2026-05-17,CUST01331,cust1150@example.com,Adirondack Chair,Patio Heaters,1,149.5,149.5,MidwestHome,Atlanta,OR,13478
ORD-331148,2026-05-17,CUST00570,cust1430@example.com,pruning shears,Grills & BBQ,3,18.75,56.25,SouthernShed,Denver,CA,30926
ORD-207175,2026-05-17,CUST01495,cust542@example.com,adirondack chair,Lighting,1,149.5,149.5,MidwestHome,Austin,IL,89131
ORD-496922,2026-05-17,CUST01183,cust1814@example.com,Adirondack-Chair,Grills & BBQ,1,149.5,149.5,NorthernYards,Austin,MA,91070
ORD-793384,2026-05-17,CUST01302,cust779@example.com,garden hose 50ft,Garden Tools,6,29.99,179.94,SouthernShed,Denver,FL,23238
ORD-472528,2026-05-17,CUST00351,cust147@example.com,Garden Hose 50 ft,Home Decor,1,29.99,29.99,SouthernShed,Seattle,MA,94939
ORD-584714,2026-05-17,CUST01727,cust450@example.com,ceramic planter,Outdoor Furniture,6,34.5,207.0,SouthernShed,Austin,MA,83000
ORD-944151,2026-05-17,CUST00436,cust1795@example.com,FIRE PIT,Patio Heaters,1,179.0,179.0,WestPatio,Atlanta,FL,84341
ORD-774079,2026-05-17,CUST01198,cust1104@example.com,Pruning Shears,Lighting,1,18.75,18.75,MidwestHome,Atlanta,FL,83579
ORD-479580,2026-05-17,CUST01286,cust1764@example.com,Garden Hose 50ft,Grills & BBQ,2,29.99,59.98,WestPatio,Miami,TX,16175
ORD-166613,2026-05-17,CUST01763,cust515@example.com,ceramic planter,Outdoor Furniture,2,34.5,69.0,NorthernYards,Boston,GA,79352
ORD-663054,2026-05-17,CUST01954,cust324@example.com,LED-String-Lights,Patio Heaters,1,24.99,24.99,EastsideOutfitters,Miami,WA,66985
ORD-898975,2026-05-17,CUST01248,cust1724@example.com,charcoal grill ,Grills & BBQ,4,199.0,796.0,SouthernShed,Denver,MA,49117
ORD-899550,2026-05-17,CUST00040,cust1227@example.com,charcoal grill ,Outdoor Furniture,5,199.0,995.0,EastsideOutfitters,Denver,NC,10074
ORD-351083,2026-05-17,CUST00142,cust1499@example.com,patio umbrella,Home Decor,4,89.99,359.96,SouthernShed,Seattle,TX,21226
ORD-791798,2026-05-17,CUST01105,cust1976@example.com,Pruning Shears,Patio Heaters,1,18.75,18.75,SouthernShed,Boston,OR,65461
ORD-426858,2026-05-17,CUST00461,cust925@example.com,Ceramic  Planter,Outdoor Furniture,2,34.5,69.0,EastsideOutfitters,Austin,GA,77839
ORD-716886,2026-05-17,CUST00469,cust1450@example.com,Outdoor Rug 5x7,Outdoor Furniture,2,119.0,238.0,NorthernYards,Denver,CA,19305
ORD-174299,2026-05-17,CUST01916,cust1105@example.com,Outdoor Rug 5x7,Home Decor,1,119.0,119.0,MidwestHome,Atlanta,GA,38080
ORD-354801,2026-05-17,CUST00842,cust883@example.com,pruning shears,Lighting,1,18.75,18.75,NorthernYards,Boston,TX,96374
ORD-785197,2026-05-17,CUST01099,cust510@example.com,Adirondack Chair,Lighting,2,149.5,299.0,SouthernShed,Atlanta,IL,24322
ORD-292401,2026-05-17,CUST01128,cust1655@example.com,led string lights,Outdoor Furniture,1,24.99,24.99,NorthernYards,Boston,TX,68082
ORD-666847,2026-05-17,CUST00438,cust833@example.com,Patio Umbrella,Lighting,4,89.99,359.96,NorthernYards,Seattle,FL,31798
ORD-497382,2026-05-17,CUST01497,cust867@example.com,PATIO UMBRELLA,Home Decor,1,89.99,89.99,WestPatio,Seattle,GA,47388
ORD-299122,2026-05-17,CUST00118,cust125@example.com,LED String Lights,Outdoor Furniture,5,24.99,124.95,MidwestHome,Atlanta,OR,81066
ORD-627276,2026-05-17,CUST01219,cust1744@example.com,Outdoor Rug 5x7,Outdoor Furniture,1,119.0,119.0,SouthernShed,Atlanta,NC,20500
ORD-225710,2026-05-17,CUST01196,cust168@example.com,Patio Heater,Home Decor,2,249.0,498.0,MidwestHome,Denver,CA,91183
ORD-373432,2026-05-17,CUST01322,cust811@example.com,Garden Hose 50 ft,Garden Tools,3,29.99,89.97,WestPatio,Denver,FL,44814
ORD-888387,2026-05-17,CUST01037,cust151@example.com,Adirondack Chair,Garden Tools,2,149.5,299.0,SouthernShed,Denver,OR,23104
ORD-172132,2026-05-17,CUST01653,cust1441@example.com,garden hose 50ft,Patio Heaters,1,29.99,29.99,MidwestHome,Austin,GA,81200
ORD-800305,2026-05-17,CUST00220,cust542@example.com,outdoor rug 5x7,Patio Heaters,5,119.0,595.0,MidwestHome,Seattle,TX,27601
ORD-385577,2026-05-17,CUST00541,cust1408@example.com,LED-String-Lights,Home Decor,1,24.99,24.99,WestPatio,Denver,IL,36685
ORD-987204,2026-05-17,CUST00268,cust8@example.com,Patio Umbrella,Patio Heaters,2,89.99,179.98,EastsideOutfitters,Seattle,WA,15778
ORD-877236,2026-05-17,CUST01852,cust1936@example.com,pruning shears,Grills & BBQ,2,18.75,37.5,MidwestHome,Austin,TX,19862
ORD-975136,2026-05-17,CUST01842,cust86@example.com,fire-pit,Outdoor Furniture,2,179.0,358.0,EastsideOutfitters,Seattle,CO,26704
ORD-815198,2026-05-17,CUST00317,cust1995@example.com,Garden Hose 50 ft,Grills & BBQ,1,29.99,29.99,SouthernShed,Seattle,NC,63264
ORD-532322,2026-05-17,CUST01506,cust1643@example.com,patio umbrella,Grills & BBQ,3,89.99,269.97,EastsideOutfitters,Seattle,IL,63964
ORD-925622,2026-05-17,CUST00943,cust409@example.com,adirondack chair,Garden Tools,4,149.5,598.0,EastsideOutfitters,Seattle,GA,39154
ORD-333752,2026-05-17,CUST00720,cust1981@example.com,patio umbrella,Patio Heaters,1,89.99,89.99,MidwestHome,Atlanta,WA,19099
ORD-812526,2026-05-17,CUST00544,cust366@example.com,outdoor rug 5x7,Outdoor Furniture,5,119.0,595.0,NorthernYards,Miami,TX,44237
ORD-555673,2026-05-17,CUST01843,cust1048@example.com,fire-pit,Home Decor,3,179.0,537.0,SouthernShed,Denver,CO,89457
ORD-146542,2026-05-17,CUST00144,cust404@example.com,Ceramic Planter,Patio Heaters,2,34.5,69.0,EastsideOutfitters,Miami,NC,97900
ORD-429164,2026-05-17,CUST00825,cust1366@example.com,Adirondack-Chair,Patio Heaters,4,149.5,598.0,EastsideOutfitters,Miami,NC,50538
ORD-233470,2026-05-17,CUST01261,cust1533@example.com,garden hose 50ft,Home Decor,2,29.99,59.98,EastsideOutfitters,Atlanta,CO,98777
ORD-674553,2026-05-17,CUST00953,cust1243@example.com, Patio  Umbrella ,Lighting,1,89.99,89.99,WestPatio,Boston,CO,86019
ORD-324082,2026-05-17,CUST01056,cust1350@example.com,outdoor rug 5x7,Patio Heaters,3,119.0,357.0,MidwestHome,Denver,AZ,32241
ORD-197923,2026-05-17,CUST01252,cust51@example.com,,Outdoor Furniture,1,29.99,29.99,WestPatio,Atlanta,FL,29313
ORD-760356,2026-05-17,CUST01344,cust819@example.com,Patio Heater,Patio Heaters,3,249.0,747.0,NorthernYards,Austin,CO,74799
ORD-916232,2026-05-17,CUST00935,cust952@example.com,Ceramic Planter,Grills & BBQ,-1,34.5,34.5,WestPatio,Boston,AZ,77889
ORD-656932,2026-05-17,CUST01034,cust1670@example.com,Outdoor Rug 5 x 7,Lighting,1,119.0,119.0,MidwestHome,Atlanta,GA,90301
ORD-266889,2026-05-17,CUST01068,cust568@example.com,pruning shears,Lighting,1,18.75,18.75,SouthernShed,Denver,FL,93579
ORD-561239,2026-05-17,CUST00166,cust655@example.com,Adirondack-Chair,Grills & BBQ,1,149.5,149.5,SouthernShed,Seattle,WA,54020
ORD-501641,2026-05-17,CUST00852,cust678@example.com,charcoal grill ,Outdoor Furniture,1,199.0,199.0,SouthernShed,Atlanta,CO,63424
ORD-508396,,CUST01544,cust977@example.com,patio-heater,Lighting,1,249.0,249.0,WestPatio,Miami,OR,59857
ORD-883826,2026-05-17,CUST00060,cust559@example.com,Outdoor Rug 5 x 7,Lighting,4,119.0,476.0,EastsideOutfitters,Boston,GA,38760
ORD-812131,2026-05-17,CUST01858,cust1275@example.com,Ceramic  Planter,Lighting,1,34.5,34.5,MidwestHome,Miami,GA,26728
ORD-795205,,CUST00434,cust373@example.com,Patio Umbrella,Lighting,2,89.99,179.98,EastsideOutfitters,Denver,NY,70515
ORD-898207,2026-05-17,CUST00040,cust1710@example.com,ceramic planter,Patio Heaters,3,34.5,103.5,MidwestHome,Austin,CO,43065
ORD-466960,2026-05-17,CUST01273,cust1545@example.com,Garden Hose 50 ft,Grills & BBQ,-1,29.99,29.99,SouthernShed,Seattle,MA,15276
ORD-596564,2026-05-17,CUST01241,cust1571@example.com,Adirondack-Chair,Home Decor,5,149.5,747.5,NorthernYards,Seattle,GA,43586
ORD-426147,2026-05-17,CUST00769,cust1388@example.com,Adirondack-Chair,Lighting,1,149.5,149.5,SouthernShed,Austin,WA,85470
ORD-720859,2026-05-17,CUST01631,cust1230@example.com,Garden Hose 50ft,Home Decor,2,29.99,59.98,NorthernYards,Denver,WA,99687
ORD-658623,,CUST01004,cust699@example.com,Ceramic  Planter,Outdoor Furniture,1,34.5,34.5,WestPatio,Denver,NC,94874
ORD-766459,2026-05-17,CUST01262,cust1978@example.com,Pruning Shears,Home Decor,2,18.75,37.5,WestPatio,Atlanta,AZ,78386
ORD-556732,2026-05-17,CUST00500,cust572@example.com,PATIO HEATER,Lighting,1,249.0,249.0,MidwestHome,Miami,FL,21359
ORD-800646,2026-05-17,CUST01634,cust999@example.com,ceramic planter,Garden Tools,1,34.5,34.5,EastsideOutfitters,Denver,IL,33834
ORD-725113,2026-05-17,CUST01001,cust495@example.com,LED-String-Lights,Home Decor,1,24.99,24.99,SouthernShed,Boston,FL,21221
ORD-599219,2026-05-17,CUST00499,cust454@example.com,pruning shears,Garden Tools,3,18.75,56.25,MidwestHome,Denver,TX,48566
